Timestamp,User,Action,File_Involved,Network_IP,Process_Name,Registry_Modified,Persistence_Technique,Log_Cleared,Timestomped,Encoded_Payload,Encrypted_Channel,Uses_Anti_Forensics
4/13/2025 13:03,user1,ClearLogs,config.sys,10.0.0.5,svchost.exe,1,ServiceInstall,1,0,0,0,1
4/12/2025 11:29,attacker,InjectProcess,log.txt,10.0.0.5,cmd.exe,0,None,0,0,0,0,1
4/12/2025 11:50,user1,AccountCreation,data.db,10.0.0.5,malware.exe,0,None,0,0,0,0,1
4/13/2025 13:33,SYSTEM,ClearLogs,data.db,192.168.1.10,explorer.exe,1,ServiceInstall,1,0,0,0,1
4/14/2025 8:44,admin,ClearLogs,log.txt,None,svchost.exe,1,ServiceInstall,1,0,0,0,1
4/12/2025 6:20,user2,ClearLogs,data.db,None,malware.exe,0,RegistryRunKey,1,0,0,0,1
4/10/2025 12:54,SYSTEM,Logon,None,192.168.1.10,powershell.exe,1,ScheduledTask,0,0,0,0,0
4/13/2025 18:17,user1,TimestampChange,script.ps1,172.16.0.1,explorer.exe,0,RegistryRunKey,0,1,0,0,1
4/12/2025 8:13,user2,AccountCreation,data.db,192.168.1.10,malware.exe,0,ScheduledTask,0,0,0,0,1
4/9/2025 16:11,attacker,InjectProcess,log.txt,10.0.0.5,powershell.exe,0,None,0,0,0,0,1
4/15/2025 22:52,SYSTEM,TimestampChange,config.sys,172.16.0.1,malware.exe,0,ServiceInstall,0,1,0,0,1
4/11/2025 2:02,SYSTEM,ObfuscateCode,log.txt,None,malware.exe,0,RegistryRunKey,0,0,1,0,1
4/13/2025 3:05,SYSTEM,ClearLogs,log.txt,192.168.1.10,svchost.exe,1,None,1,0,0,0,1
4/16/2025 10:42,user1,Logoff,config.sys,10.0.0.5,svchost.exe,0,RegistryRunKey,0,0,0,0,0
4/15/2025 1:05,user1,TimestampChange,config.sys,172.16.0.1,svchost.exe,1,ServiceInstall,0,1,0,0,1
4/11/2025 10:53,attacker,InjectProcess,None,172.16.0.1,cmd.exe,0,ServiceInstall,0,0,0,0,1
4/14/2025 13:36,attacker,TimestampChange,data.db,192.168.1.10,explorer.exe,0,None,0,1,0,0,1
4/11/2025 17:16,attacker,AccountCreation,None,10.0.0.5,cmd.exe,0,ScheduledTask,0,0,0,0,1
4/14/2025 2:13,SYSTEM,TimestampChange,script.ps1,172.16.0.1,malware.exe,0,ScheduledTask,0,1,0,0,1
4/15/2025 1:38,admin,FileDelete,data.db,172.16.0.1,powershell.exe,0,ServiceInstall,0,0,0,0,1
4/13/2025 17:45,SYSTEM,FileAccess,log.txt,None,cmd.exe,1,ScheduledTask,0,0,0,0,0
4/14/2025 5:17,user2,ObfuscateCode,script.ps1,None,powershell.exe,0,ScheduledTask,0,0,1,0,1
4/15/2025 1:49,attacker,ExfiltrateData,None,None,explorer.exe,0,ScheduledTask,0,0,0,1,1
4/14/2025 18:35,admin,ObfuscateCode,config.sys,8.8.8.8,explorer.exe,0,ServiceInstall,0,0,1,0,1
4/12/2025 22:15,user2,AccountCreation,script.ps1,8.8.8.8,powershell.exe,0,ScheduledTask,0,0,0,0,1
4/14/2025 1:01,user2,FileDelete,script.ps1,None,svchost.exe,1,ScheduledTask,0,0,0,0,1
4/13/2025 6:11,attacker,ExfiltrateData,log.txt,172.16.0.1,powershell.exe,1,RegistryRunKey,0,0,0,0,1
4/14/2025 4:56,user1,AccountCreation,log.txt,10.0.0.5,cmd.exe,1,ServiceInstall,0,0,0,0,1
4/10/2025 1:55,SYSTEM,FileAccess,data.db,8.8.8.8,explorer.exe,1,ServiceInstall,0,0,0,0,0
4/15/2025 13:08,user2,TimestampChange,config.sys,172.16.0.1,cmd.exe,0,ServiceInstall,0,1,0,0,1
4/13/2025 18:37,SYSTEM,Logon,log.txt,None,powershell.exe,0,None,0,0,0,0,0
4/13/2025 9:09,user2,FileAccess,log.txt,None,powershell.exe,0,RegistryRunKey,0,0,0,0,0
4/15/2025 13:35,user2,ExfiltrateData,script.ps1,None,powershell.exe,1,ScheduledTask,0,0,0,0,1
4/15/2025 9:16,SYSTEM,InjectProcess,script.ps1,10.0.0.5,malware.exe,0,None,0,0,0,0,1
4/15/2025 22:18,user2,TimestampChange,None,8.8.8.8,svchost.exe,1,RegistryRunKey,0,1,0,0,1
4/14/2025 0:02,user1,ClearLogs,config.sys,10.0.0.5,svchost.exe,1,RegistryRunKey,1,0,0,0,1
4/13/2025 8:53,SYSTEM,Logon,script.ps1,8.8.8.8,svchost.exe,0,None,0,0,0,0,0
4/12/2025 0:10,user2,ExfiltrateData,script.ps1,None,svchost.exe,1,ScheduledTask,0,0,0,0,1
4/13/2025 13:01,admin,ClearLogs,None,10.0.0.5,svchost.exe,1,None,1,0,0,0,1
4/14/2025 7:21,user1,FileAccess,script.ps1,192.168.1.10,svchost.exe,0,RegistryRunKey,0,0,0,0,0
4/13/2025 8:24,user1,ObfuscateCode,script.ps1,10.0.0.5,malware.exe,0,None,0,0,1,0,1
4/12/2025 23:31,SYSTEM,AccountCreation,config.sys,8.8.8.8,powershell.exe,0,ServiceInstall,0,0,0,0,1
4/16/2025 2:19,SYSTEM,ObfuscateCode,data.db,172.16.0.1,powershell.exe,1,ServiceInstall,0,0,1,0,1
4/9/2025 19:35,user2,FileAccess,config.sys,172.16.0.1,svchost.exe,1,ScheduledTask,0,0,0,0,0
4/12/2025 20:19,SYSTEM,ExfiltrateData,script.ps1,None,explorer.exe,0,RegistryRunKey,0,0,0,0,1
4/12/2025 12:48,user2,InjectProcess,None,10.0.0.5,powershell.exe,0,RegistryRunKey,0,0,0,0,1
4/13/2025 11:03,admin,ClearLogs,None,None,explorer.exe,0,ServiceInstall,1,0,0,0,1
4/16/2025 8:29,SYSTEM,FileAccess,data.db,8.8.8.8,svchost.exe,0,ServiceInstall,0,0,0,0,0
4/15/2025 17:10,user1,FileDelete,None,None,malware.exe,0,ServiceInstall,0,0,0,0,1
4/15/2025 1:34,attacker,ClearLogs,data.db,10.0.0.5,malware.exe,1,None,1,0,0,0,1
4/16/2025 0:43,user1,ExfiltrateData,config.sys,8.8.8.8,explorer.exe,0,None,0,0,0,1,1
4/13/2025 21:11,user2,InjectProcess,config.sys,192.168.1.10,svchost.exe,1,RegistryRunKey,0,0,0,0,1
4/15/2025 18:20,user2,Logoff,data.db,192.168.1.10,explorer.exe,1,ServiceInstall,0,0,0,0,0
4/16/2025 4:52,user1,ClearLogs,script.ps1,None,cmd.exe,1,ScheduledTask,1,0,0,0,1
4/10/2025 12:07,admin,Logon,script.ps1,None,svchost.exe,0,ScheduledTask,0,0,0,0,0
4/12/2025 19:58,SYSTEM,FileDelete,data.db,8.8.8.8,malware.exe,0,RegistryRunKey,0,0,0,0,1
4/16/2025 14:10,user1,InjectProcess,None,8.8.8.8,cmd.exe,0,ServiceInstall,0,0,0,0,1
4/12/2025 9:21,SYSTEM,AccountCreation,None,172.16.0.1,powershell.exe,0,None,0,0,0,0,1
4/10/2025 5:55,SYSTEM,FileAccess,log.txt,None,powershell.exe,0,ScheduledTask,0,0,0,0,0
4/12/2025 7:10,attacker,FileAccess,data.db,192.168.1.10,powershell.exe,1,ScheduledTask,0,0,0,0,0
4/15/2025 5:51,user1,AccountCreation,script.ps1,172.16.0.1,explorer.exe,1,ServiceInstall,0,0,0,0,1
4/10/2025 17:25,user1,InjectProcess,config.sys,8.8.8.8,malware.exe,1,RegistryRunKey,0,0,0,0,1
4/12/2025 18:00,attacker,TimestampChange,config.sys,None,malware.exe,1,ScheduledTask,0,1,0,0,1
4/10/2025 2:35,attacker,ClearLogs,script.ps1,8.8.8.8,cmd.exe,0,RegistryRunKey,1,0,0,0,1
4/15/2025 2:34,admin,TimestampChange,None,None,svchost.exe,1,ScheduledTask,0,1,0,0,1
4/10/2025 0:44,admin,ClearLogs,data.db,172.16.0.1,powershell.exe,0,ScheduledTask,1,0,0,0,1
4/16/2025 10:22,user1,ObfuscateCode,config.sys,8.8.8.8,malware.exe,0,None,0,0,1,0,1
4/14/2025 23:20,SYSTEM,TimestampChange,data.db,172.16.0.1,powershell.exe,1,ServiceInstall,0,1,0,0,1
4/16/2025 4:48,user1,FileAccess,script.ps1,8.8.8.8,powershell.exe,0,None,0,0,0,0,0
4/15/2025 1:56,admin,ExfiltrateData,None,192.168.1.10,malware.exe,1,None,0,0,0,0,1
4/10/2025 22:01,user1,Logon,None,172.16.0.1,cmd.exe,0,None,0,0,0,0,0
4/12/2025 4:21,user2,ClearLogs,script.ps1,172.16.0.1,powershell.exe,1,None,1,0,0,0,1
4/10/2025 17:15,user1,AccountCreation,script.ps1,8.8.8.8,malware.exe,0,ServiceInstall,0,0,0,0,1
4/11/2025 1:07,attacker,Logon,log.txt,172.16.0.1,cmd.exe,0,ScheduledTask,0,0,0,0,0
4/12/2025 2:08,user1,AccountCreation,log.txt,192.168.1.10,malware.exe,1,None,0,0,0,0,1
4/13/2025 0:08,user1,ObfuscateCode,log.txt,None,explorer.exe,1,RegistryRunKey,0,0,1,0,1
4/9/2025 22:27,admin,ExfiltrateData,None,192.168.1.10,svchost.exe,1,ScheduledTask,0,0,0,1,1
4/11/2025 10:46,SYSTEM,ClearLogs,log.txt,192.168.1.10,explorer.exe,1,None,1,0,0,0,1
4/10/2025 4:15,SYSTEM,FileDelete,config.sys,None,malware.exe,1,None,0,0,0,0,1
4/11/2025 5:12,admin,TimestampChange,config.sys,8.8.8.8,explorer.exe,1,RegistryRunKey,0,1,0,0,1
4/10/2025 16:25,SYSTEM,FileDelete,log.txt,10.0.0.5,explorer.exe,0,None,0,0,0,0,1
4/13/2025 16:10,attacker,ClearLogs,config.sys,10.0.0.5,cmd.exe,1,ServiceInstall,1,0,0,0,1
4/14/2025 2:39,user2,InjectProcess,data.db,192.168.1.10,explorer.exe,1,RegistryRunKey,0,0,0,0,1
4/10/2025 4:54,user1,Logoff,None,10.0.0.5,svchost.exe,1,ScheduledTask,0,0,0,0,0
4/10/2025 22:09,admin,ObfuscateCode,data.db,10.0.0.5,powershell.exe,0,ServiceInstall,0,0,1,0,1
4/13/2025 12:12,admin,FileAccess,config.sys,None,powershell.exe,1,None,0,0,0,0,0
4/16/2025 9:52,user2,Logon,None,10.0.0.5,svchost.exe,0,ServiceInstall,0,0,0,0,0
4/10/2025 23:16,admin,ObfuscateCode,config.sys,172.16.0.1,malware.exe,1,ServiceInstall,0,0,1,0,1
4/15/2025 3:38,admin,InjectProcess,data.db,None,svchost.exe,0,None,0,0,0,0,1
4/13/2025 18:35,admin,ObfuscateCode,script.ps1,10.0.0.5,cmd.exe,1,ScheduledTask,0,0,1,0,1
4/12/2025 22:45,attacker,ClearLogs,config.sys,8.8.8.8,explorer.exe,1,None,1,0,0,0,1
4/11/2025 19:53,user2,FileDelete,script.ps1,None,explorer.exe,1,ScheduledTask,0,0,0,0,1
4/14/2025 17:59,admin,TimestampChange,script.ps1,172.16.0.1,powershell.exe,1,None,0,1,0,0,1
4/12/2025 11:36,SYSTEM,InjectProcess,data.db,8.8.8.8,svchost.exe,0,ServiceInstall,0,0,0,0,1
4/15/2025 23:24,admin,FileAccess,data.db,None,svchost.exe,0,ScheduledTask,0,0,0,0,0
4/14/2025 23:15,SYSTEM,FileAccess,script.ps1,None,powershell.exe,0,RegistryRunKey,0,0,0,0,0
4/15/2025 19:52,admin,ObfuscateCode,None,8.8.8.8,cmd.exe,1,ScheduledTask,0,0,1,0,1
4/11/2025 15:35,user1,Logoff,log.txt,192.168.1.10,svchost.exe,1,ServiceInstall,0,0,0,0,0
4/11/2025 15:16,attacker,Logoff,script.ps1,192.168.1.10,cmd.exe,1,RegistryRunKey,0,0,0,0,0
